NAME,B01003_001E,B17001_001E,B17001_002E,state,county
"Boulder County, Colorado",297218,287760,38134,08,013
"Broomfield County, Colorado",55913,55714,3413,08,014
"Chaffee County, Colorado",17879,16573,1556,08,015
"Cheyenne County, Colorado",2095,2045,159,08,017
"Clear Creek County, Colorado",9059,8924,873,08,019
"Conejos County, Colorado",8241,8131,1399,08,021
"Costilla County, Colorado",3556,3534,874,08,023
"Crowley County, Colorado",5747,3834,874,08,025
"Custer County, Colorado",4208,4143,572,08,027
"Delta County, Colorado",30710,29596,4404,08,029
"Denver County, Colorado",604356,592866,112183,08,031
"Dolores County, Colorado",1806,1801,251,08,033
"Douglas County, Colorado",286883,285910,11538,08,035
"Eagle County, Colorado",51850,51623,5138,08,037
"Elbert County, Colorado",23058,22944,1384,08,039
"El Paso County, Colorado",622816,603781,75363,08,041
"Fremont County, Colorado",47006,35583,5376,08,043
"Garfield County, Colorado",56330,55299,6031,08,045
"Gilpin County, Colorado",5358,5315,547,08,047
"Grand County, Colorado",14608,14525,1255,08,049
"Gunnison County, Colorado",15385,14275,2324,08,051
"Hinsdale County, Colorado",790,790,40,08,053
"Huerfano County, Colorado",6730,6027,1254,08,055
"Jackson County, Colorado",1397,1374,171,08,057
"Jefferson County, Colorado",536095,527576,45532,08,059
"Kiowa County, Colorado",1393,1372,205,08,061
"Kit Carson County, Colorado",8210,7444,871,08,063
"Lake County, Colorado",7372,7234,1114,08,065
"La Plata County, Colorado",51443,49422,5510,08,067
"Larimer County, Colorado",300870,292830,40034,08,069
"Las Animas County, Colorado",15385,14903,2769,08,071
"Lincoln County, Colorado",5443,3952,399,08,073
"Clark County, Kentucky",35555,35016,5543,21,049
"Clay County, Kentucky",21833,19916,6872,21,051
"Clinton County, Kentucky",10244,10084,2825,21,053
"Crittenden County, Kentucky",9321,9139,1789,21,055
"Cumberland County, Kentucky",6857,6767,1602,21,057
"Daviess County, Kentucky",96711,93718,13967,21,059
"Edmonson County, Kentucky",12141,11993,2264,21,061
"Elliott County, Kentucky",7774,6723,2265,21,063
"Estill County, Kentucky",14647,14519,3783,21,065
"Fayette County, Kentucky",296766,283981,51593,21,067
"Fleming County, Kentucky",14415,14298,2583,21,069
"Floyd County, Kentucky",39454,38585,10861,21,071
"Franklin County, Kentucky",49399,47558,7098,21,073
"Fulton County, Kentucky",6758,6445,1559,21,075
"Gallatin County, Kentucky",8513,8411,1695,21,077
"Garrard County, Kentucky",16892,16597,3073,21,079
